copyright,date,explanation,hdurl,media_type,service_version,title,url,month,year
"
NASA, 
ESA, 
CSA, 
STScI, 
Webb ERO Production Team
",2022-09-07,"Near the center of a nearby star-forming region lies a massive cluster containing some of the largest and hottest stars known.  Collectively known as star cluster NGC 2070, these stars are part of the vast Tarantula Nebula and were captured in two kinds of infrared light by the new Webb Space Telescope.  The main image shows the group of stars at NGC 2070's center -- known as R136 -- in near-infrared, light just a bit too red for humans to see. In contrast, the rollover image captures the cluster center in mid-infrared light, light closer to radio waves.  Since R136's brightest stars emit more of their light in the near infrared, they are much more prominent on that image. This LMC cluster's massive stars emit particle winds and energetic light that are evaporating the gas cloud from which they formed. The Webb images, released yesterday, shows details of R136 and its surroundings that have never been seen before, details that are helping humanity to a better understanding of how all stars are born, evolve and die.",https://apod.nasa.gov/apod/image/2209/TarantulaNearIr_Webb_1396.jpg,image,v1,Tarantula Stars R136 from Webb,https://apod.nasa.gov/apod/image/2209/TarantulaNearIr_Webb_960.jpg,9,2022
"
Dean Fournier;
Inset: ESA/Hubble & 
NASA
",2016-07-27,"M13 is one of the most prominent and best known globular clusters.  Visible with binoculars in the constellation of Hercules, M13 is frequently one of the first objects found by curious sky gazers seeking celestials wonders beyond normal human vision.  M13 is a colossal home to over 100,000 stars, spans over 150 light years across, lies over 20,000 light years distant, and is over 12 billion years old.  At the 1974 dedication of Arecibo Observatory, a radio message about Earth was sent in the direction of M13.  The featured image in HDR, taken through a small telescope, spans an angular size just larger than a full Moon, whereas the inset image, taken by Hubble Space Telescope, zooms in on the central 0.04 degrees.",https://apod.nasa.gov/apod/image/1607/M13_Fournier_1824.jpg,image,v1,M13: A Great Globular Cluster of Stars,https://apod.nasa.gov/apod/image/1607/M13_Fournier_960.jpg,7,2016
NASA,2018-07-27,"Look opposite the Sun in the sky tonight and you'll see Mars at its brightest. Also within days of its closest approach Mars rises at sunset, near its brightest and best for telescopic observers too, except for the dust storm still blanketing the Red Planet. These two Hubble Space Telescope images compare Mars' appearance near its 2016 and 2018 oppositions. In 2016 the martian atmosphere was clear. Captured just days ago, the 2018 image shows almost the same face of Mars. Surface features obscured by dust, the planet's cloud enshrouded south pole is tilted more toward the Sun. Increased heat in the southern hemisphere spring and summer likely triggers planet wide dust storms. Of course, if you look opposite the Sun in the sky tonight, you'll also see a Full Moon near Mars. Skygazers NOT located in North America could see the Red Planet near a Red Moon during a Total Lunar Eclipse.",https://apod.nasa.gov/apod/image/1807/MarsOpp2panelSTSCI_2094.jpg,image,v1,Mars Opposition,https://apod.nasa.gov/apod/image/1807/MarsOpp2panelSTSCI_1047.jpg,7,2018
"
Mark Hanson and 
Mike Selby;
Text: 
Michelle Thaller 
(NASA's 
GSFC)
",2024-10-27,"What is the most spook-tacular nebula in the galaxy?   One contender is LDN 43, which bears an astonishing resemblance to a vast cosmic bat flying amongst the stars on a dark Halloween night.  Located about 1400 light years away in the constellation Ophiuchus, this molecular cloud is dense enough to block light not only from background stars, but from wisps of gas lit up by the nearby reflection nebula LBN 7.  Far from being a harbinger of death, this 12-light year-long filament of gas and dust is actually a stellar nursery.  Glowing with eerie light, the bat is lit up from inside by dense gaseous knots that have just formed young stars.    Your Sky Surprise: What picture did APOD feature on your birthday? (post 1995)",https://apod.nasa.gov/apod/image/2410/LDN43_SelbyHanson_3993.jpg,image,v1,LDN 43: The Cosmic Bat Nebula,https://apod.nasa.gov/apod/image/2410/LDN43_SelbyHanson_960.jpg,10,2024
"
D. Seaton (ROB),  
A. Davis & J. M. Pasachoff 
(Williams College Eclipse Expedition),
NRL, 
ESA, 
NASA, NatGeo
",2013-11-11,"Sometimes, a total eclipse of the Sun is an opportunity. Taking advantage of such, the above image shows the solar eclipse earlier this month as covered and uncovered by several different solar observatories. The innermost image shows the Sun in ultraviolet light as recorded over a few hours by the SWAP instrument aboard the PROBA2 mission in a sun-synchronous low Earth orbit. This image is surrounded by a ground-based eclipse image, reproduced in blue, taken from Gabon. Further out is a circularly blocked region used to artificially dim the central sun by the LASCO instrument aboard the Sun-orbiting SOHO spacecraft. The outermost image -- showing the outflowing solar corona -- was taken by LASCO ten minutes after the eclipse and shows an outflowing solar corona. Over the past few weeks, our Sun has been showing an unusually high amount of sunspots, CMEs, and flares -- activity that was generally expected as the Sun is currently going through Solar Maximum -- the busiest part of its 11 year solar cycle. The above resultant image is a picturesque montage of many solar layers at once that allows solar astronomers to better match up active areas on or near the Sun's surface with outflowing jets in the Sun's corona.   Free lecture: APOD editor to speak in NYC on Jan. 3",https://apod.nasa.gov/apod/image/1311/eclipsesun_pasachoff_1500.png,image,v1,An Active Sun During a Total Eclipse,https://apod.nasa.gov/apod/image/1311/eclipsesun_pasachoff_960.jpg,11,2013
"Ralph P. Harvey
(CWRU),
Antarctic Search for Meteorites Program,
NASA,
NSF
",2008-09-07,"Where is the best place on Earth to find meteorites? Although meteors fall all over the world, they usually just sink to the bottom of an ocean, are buried by shifting terrain, or are easily confused with terrestrial rocks. At the bottom of the Earth, however, in East Antarctica, huge sheets of blue ice remain pure and barren. When traversing such a sheet, a dark rock will stick out. These rocks have a high probability of being true meteorites -- likely pieces of another world. An explosion or impact might have catapulted these meteorites from the Moon, Mars, or even an asteroid, yielding valuable information about these distant worlds and our early Solar System. Small teams of snowmobiling explorers so far have found thousands. Pictured above, ice-trekkers search a field 25-kilometers in front of Otway Massif in the Transantarctic Mountain Range during the Antarctic summer of 1995-1996.",https://apod.nasa.gov/apod/image/0809/meteorsearch_harvey_big.jpg,image,v1,Searching for Meteorites in Antarctica,https://apod.nasa.gov/apod/image/0809/meteorsearch_harvey.jpg,9,2008
"
NASA, 
JPL-Caltech, 
L. Rebull 
(SSC, Caltech);
 Optical Rollover: 
DSS, D. De Martin
",2019-07-28,"The North America Nebula can do what most North Americans cannot -- form stars.  Precisely where in the nebula these stars are forming has been mostly obscured by some of the nebula's thick dust that is opaque to visible light. However, a view of the North America Nebula in infrared light by the orbiting Spitzer Space Telescope has peered through much of the dust and uncovered thousands of newly formed stars. Rolling your cursor over the above scientifically-colored infrared image will bring up a corresponding optical image of the same region for comparison.  The infrared image neatly captures young stars in many stages of formation, from being imbedded in dense knots of gas and dust, to being surrounded by disks and emitted jets, to being clear of their birth cocoons. The North America Nebula (NGC 7000) spans about 50 light years and lies about 1,500 light years away toward the constellation of the Swan (Cygnus). Still, of all the stars known in the North America Nebula, which massive stars emit the energetic light that gives the ionized  red glow is still debated.",https://apod.nasa.gov/apod/image/1907/northamerica_spitzer_3000.jpg,image,v1,The North America Nebula in Infrared,https://apod.nasa.gov/apod/image/1907/northamerica_ir_960.jpg,7,2019
"
Damia Bouic; 
 Right Image Credit:  NASA,
JPL-Caltech,
MSSS;
 Digital processing: 
Damia Bouic
",2015-05-12,"How different does sunset appear from Mars than from Earth? For comparison, two images of our common star were taken at sunset, one from Earth and one from Mars. These images were scaled to have same angular width and featured here side-by-side. A quick inspection will reveal that the Sun appears slightly smaller from Mars than from Earth. This makes sense since Mars is 50% further from the Sun than Earth. More striking, perhaps, is that the Martian sunset is noticeably bluer near the Sun than the typically orange colors near the setting Sun from Earth. The reason for the blue hues from Mars is not fully understood, but thought to be related to forward scattering properties of Martian dust. The terrestrial sunset was taken in 2012 March from Marseille, France, while the Martian sunset was captured last month by NASA's robotic Curiosity rover from Gale crater on Mars.",https://apod.nasa.gov/apod/image/1505/TwoWorldsOneSun_Bouic_2683.jpg,image,v1,"Two Worlds, One Sun",https://apod.nasa.gov/apod/image/1505/TwoWorldsOneSun_Bouic_1080.jpg,5,2015
"
Anglo-Australian Telescope
Board

 Explanation:  

Almost unknown to casual observers in the northern hemisphere,
the southern
sky contains two diffuse wonders known as the
Magellanic Clouds.
The Magellanic Clouds are small irregular
galaxies orbiting our
own larger Milky Way spiral galaxy.
The Small Magellanic Cloud
(SMC), pictured here,
is about 250,000 light years away and
contains a preponderance of young, hot, blue stars indicating it has
undergone a recent period of star formation.
There is evidence that the SMC is actually two
galaxies superposed to appear as one. 
The bright blob near
the right hand edge of the frame is a
globular cluster near the
outskirts of the Milky Way.


 Tomorrow's picture:  GL 105C: The Coolest Star? 
 

| Archive 
| Glossary 
| Education 
| About APOD |
 

Astronomy Picture of the Day (APOD) is created and edited in 1995 by
Robert
Nemiroff (GMU) and
Jerry Bonnell (USRA).  Specific rights may apply.
Correspondence about APOD should be addressed to
nemiroff@grossc.gsfc.nasa.gov or bonnell@grossc.gsfc.nasa.gov.






A service of the

Laboratory for High Energy Astrophysics (LHEA) at
NASA/
GSFC

Technical Rep:
Sherri Calvo,
301-286-5668, sherri.calvo@gsfc.nasa.gov
Questions/Comments/Feedback to: feedback@athena.gsfc.nasa.gov


General astronomy pointers are available.

",1995-09-19,"Almost unknown to casual observers in the northern hemisphere, the southern sky contains two diffuse wonders known as the Magellanic Clouds. The Magellanic Clouds are small irregular galaxies orbiting our own larger Milky Way spiral galaxy. The Small Magellanic Cloud (SMC), pictured here, is about 250,000 light years away and contains a preponderance of young, hot, blue stars indicating it has undergone a recent period of star formation. There is evidence that the SMC is actually two galaxies superposed to appear as one. The bright blob near the right hand edge of the frame is a globular cluster near the outskirts of the Milky Way.",https://apod.nasa.gov/apod/image/smc_uks.gif,image,v1,The Small Cloud of Magellan,https://apod.nasa.gov/apod/image/smc_uks.gif,9,1995
"
Fred Espenak 
(NASA/GSFC)
",2001-04-08,"Most photographs don't adequately portray the magnificence of the Sun's corona.  Seeing the corona first-hand during a total solar eclipse is best.  The human eye can adapt to see features and extent that photographic film usually cannot.  Welcome, however, to the digital age.  The above picture is a combination of twenty-two photographs that were digitally processed to highlight faint features of a total eclipe that occurred in August of 1999.  The outer pictures of the Sun's corona were digitally altered to enhance dim, outlying waves and filaments.   The inner pictures of the usually dark Moon were enhanced to bring out its faint glow from doubly reflected sunlight.  Shadow seekers need not fret, though, since as yet there is no way that digital image processing can mimic the fun involved in experiencing a total solar eclipse. The next total solar eclipse will be visible from parts of Africa on June 21.",https://apod.nasa.gov/apod/image/9909/corona99_espanek.jpg,image,v1,The Big Corona,https://apod.nasa.gov/apod/image/9909/corona99_espanek_big.jpg,4,2001
"
NASA, 
ESA, 
Hubble, 
HLA;
Processing & Copyright: 
Harshwardhan Pathak
",2023-10-03,"Do you see the hourglass shape -- or does it see you?  If you can picture it, the rings of MyCn 18 trace the outline of an hourglass -- although one with an unusual eye in its center.  Either way, the sands of time are running out for the central star of this hourglass-shaped planetary nebula. With its nuclear fuel exhausted, this brief, spectacular, closing phase of a Sun-like star's life occurs as its outer layers are ejected - its core becoming a cooling, fading white dwarf. In 1995, astronomers used the Hubble Space Telescope (HST) to make a series of images of planetary nebulae, including the one featured here.  Pictured, delicate rings of colorful glowing gas (nitrogen-red, hydrogen-green, and oxygen-blue) outline the tenuous walls of the hourglass. The unprecedented sharpness of the Hubble images has revealed surprising details of the nebula ejection process that are helping to resolve the outstanding mysteries of the complex shapes and symmetries of planetary nebulas like MyCn 18.",https://apod.nasa.gov/apod/image/2310/Hourglass_HubblePathak_1080.jpg,image,v1,MyCn 18: The Engraved Hourglass Planetary Nebula,https://apod.nasa.gov/apod/image/2310/Hourglass_HubblePathak_1080.jpg,10,2023
"
D. Banfield, 
P. D. Nicholson, & 
B. J. Conrath 
(Cornell), 
Palomar Obs., 
JPL, 
NASA
",2003-10-20,"How's the weather on Neptune?  Tracking major weather patterns on the Solar System's outermost gas giant can help in the understanding of global weather patterns here on Earth.  Each summer for the past five years, Neptune has been imaged and major weather patterns studied.  The latest picture, taken on September 15, is shown above in false color.  Visible in pink near Neptune's lower right is a new storm dubbed Annabelle that is several times larger than her terrestrial sister Isabel, a concurrent storm system that occurred here on Earth.  Although Isabel lasted a few weeks, no one knows how long Annabelle will endure.  On the upper right is Neptune's largest moon Triton, an unusual moon that sports volcanoes that spew ice.",https://apod.nasa.gov/apod/image/0310/neptune_palomar_big.gif,image,v1,Neptune and Triton from Palomar,https://apod.nasa.gov/apod/image/0310/neptune_palomar.jpg,10,2003
"
Craig Attebery, 
ESA,
NASA
",2004-12-20,"What does the surface of Titan look like?  Thick clouds have always made Saturn's largest moon so mysterious that seemingly farfetched hypotheses like methane rain and lakes have been seriously considered.  Later this week, the Cassini spacecraft orbiting Saturn is scheduled to release its probe named Huygens that will actually attempt to land on the shrouded moon in early January.  Sketched above is one educated guess of what Huygens might find.  In the above depiction, orange hydrocarbons color a landscape covered with lakes and peaks of frozen methane and ammonia.  For illustration purposes, the Huygens probe is drawn parachuting down with an oversized Cassini spacecraft orbiting above.  Saturn, likely occluded by the clouds, is depicted looming in the distance.  What will Huygens really find?  Are the building blocks of life frozen onto the surface of Titan?  Will the truth be stranger than we imagined?",https://apod.nasa.gov/apod/image/0412/titan_attebery_big.jpg,image,v1,Titan Surmised,https://apod.nasa.gov/apod/image/0412/titan_attebery.jpg,12,2004
"
NASA, 
USGS, 
Apollo 15 Crew
",2018-11-11,"What would it be like to explore the Moon? NASA's Apollo missions gave humans just this chance in the late 1960s and early 1970s.  In particular, the Apollo 15 mission was dedicated to better understanding the surface of the Moon by exploring mountains, valleys, maria, and highlands. Astronauts David Scott and James Irwin spent nearly three days on the Moon while Alfred Worden orbited above in the Command Module.  The mission, which blasted off from Earth on 1971 July 26, was the first to deploy a Lunar Roving Vehicle.  Pictured in this digitally stitched mosaic panorama, David Scott, exploring his surroundings,  examines a boulder in front of the summit of Mt. Hadley Delta.  The shadow of James Irwin is visible to the right, while scrolling to the right will reveal a well-lit and diverse lunar terrain.  The Apollo 15 mission returned about 76 kilograms of moon rocks for detailed study.  In the future, NASA and other space agencies plan to continue to lead humanity's exploration of the Moon, Mars, and beyond.",https://apod.nasa.gov/apod/image/1811/hillpan_apollo15_4000.jpg,image,v1,Astronaut Exploring: An Apollo 15 Panorama,https://apod.nasa.gov/apod/image/1811/hillpan_apollo15_4000.jpg,11,2018
"
Robert Nemiroff,
(GMU,
NASA/ 
GSFC)


",1995-11-26,"The above computer animated picture depicts how a very compact star would look to a nearby observer.  The star pictured is actually more compact that any known except a black hole, so it is only hypothetical. The observer is situated at the photon sphere, where photons can orbit in a circle.  To help the viewer better visualize the great distortions created by gravity, a map of the Earth was projected onto the star, and a map of the familiar night sky was projected above.  From here one can either look down and see several duplicate images of the entire surface of the star, look up and see several duplicate images of the entire night sky, or look along the photon sphere and see the back of one's own head.",https://apod.nasa.gov/apod/image/photonsphere_rjn.gif,image,v1,A Star Where Photons Orbit,https://apod.nasa.gov/apod/image/photonsphere_rjn.gif,11,1995
"

Greg Redfern
(2003
JPL NASA Solar System Ambassador)

",2003-08-07,"What's wrong with this picture? The summer night sky is clear, and moonlight illuminates the dome of the Hale 200-inch Telescope at Palomar Observatory, northeast of San Diego, California, USA. The familiar stars of the Teapot asterism in the constellation Sagittarius shine above the dome and to the right. In fact, the only thing wrong with the picture is that the observatory dome's two massive shutters are closed tight ... on a clear night. This extremely unusual situation is a precaution prompted by the presence of airborne ash and smoke from wildfires in the area on July 17 which could have damaged the historic mirror's aluminum coating. Amateur astronomer Greg Redfern notes that this year has been a particularly bad one for observatories and wildfires, with the Mt. Stromlo Australian Observatory disaster and fires also threatening telescopes on Mount Lemmon near Tucson, Arizona.",https://apod.nasa.gov/apod/image/0308/palomar200_redfern_full.jpg,image,v1,Palomar at Night,https://apod.nasa.gov/apod/image/0308/palomar200_redfern_c2.jpg,8,2003
"
Fred Espenak 
(NASA
/GSFC)
",1999-09-15,"Most photographs don't adequately portray the magnificence of the Sun's corona.  Seeing the corona first-hand during a total solar eclipse is best.  The human eye can adapt to see features and extent that photographic film usually cannot.  Welcome, however, to the digital age.  The above picture is a combination of twenty-two photographs that were digitally processed to highlight faint features.  The outer pictures of the Sun's corona were digitally altered to enhance dim, outlying waves and filaments.   The inner pictures of the usually dark Moon were enhanced to bring out its faint glow from doubly reflected sunlight.  Shadow seekers need not fret, though, since as yet there is no way that digital image processing can mimic the fun involved in experiencing a total solar eclipse.",https://apod.nasa.gov/apod/image/9909/corona99_espanek.jpg,image,v1,The Big Corona,https://apod.nasa.gov/apod/image/9909/corona99_espanek_big.jpg,9,1999
"
Calvin J. Hamilton, 
Voyager Team, 
Galileo Team, 
NASA
",2000-10-24,"The surface of Io is continually changing.  Jupiter's moon is the home to many powerful volcanoes so active they are effectively turning the moon inside out.  The above time-lapse sequence is a composite of images taken during two space missions that approached the violent moon: Voyager and Galileo.  The sequence shows Io during a complete rotation, which corresponds to a complete revolution around Jupiter since Io always keeps the same face toward the giant planet. The rampant volcanism is thought to be caused by Jupiter's more distant Galilean Moons (Europa, Ganymede, and Callisto) pulling on Io and continually distorting its shape, causing internal frictional heating.  Io is composed mostly of rock, with the yellow color originating from sulfur.  The causes of many of the other colors remain a topic of research.",https://apod.nasa.gov/apod/image/0010/iorotmovie_gal.gif,image,v1,Io Rotating,https://apod.nasa.gov/apod/image/0010/iorotmovie_gal.gif,10,2000
